FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,51,DifferenceAntichain+TreeSet+lazyB+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,51,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAntichain+TreeSet+GBA,15,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAntichain+TreeSet+lazyS+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAntichain+TreeSet+lazyB+GBA,19,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAntichain+TreeSet+GBA,17,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAntichain+TreeSet+lazyS+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAntichain+TreeSet+lazyB+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration6.ats,false,false,75,4,97,21,18,118,DifferenceAntichain+TreeSet+GBA,21,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration6.ats,false,false,75,4,97,21,18,118,DifferenceAntichain+TreeSet+lazyS+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration6.ats,false,false,75,4,97,21,18,118,DifferenceAntichain+TreeSet+lazyB+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration6.ats,false,false,75,4,97,21,18,118,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,15,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration7.ats,false,false,102,4,132,22,18,214,DifferenceAntichain+TreeSet+GBA,21,true
