FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJ_ANTICHAIN,PAIR_DEL_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
c.01_assume-alloca_true-termination_true-no-overflow.c.i_Iteration4.ats,false,true,42,33,46,154,37,0,33,423,154,467,ASCC+Antichain,3,true
c.01_assume-alloca_true-termination_true-no-overflow.c.i_Iteration4.ats,false,true,42,33,46,154,37,0,0,0,154,498,ASCC,2,true
c.01_assume-alloca_true-termination_true-no-overflow.c.i_Iteration4.ats,false,true,42,33,46,154,37,0,0,0,0,0,RABIT,185,true
Urban-WST2013-Fig2_true-termination_true-no-overflow.c_Iteration11.ats,true,true,24,6,25,32,13,0,0,0,32,67,NCSB+Tarjan,1,false
Urban-WST2013-Fig2_true-termination_true-no-overflow.c_Iteration11.ats,true,true,24,6,25,32,13,0,0,20,32,67,ASCC+Antichain,0,false
Urban-WST2013-Fig2_true-termination_true-no-overflow.c_Iteration11.ats,true,true,24,6,25,32,13,0,0,0,32,67,ASCC,0,false
Urban-WST2013-Fig2_true-termination_true-no-overflow.c_Iteration11.ats,true,true,24,6,25,32,13,0,0,0,0,0,RABIT,118,false
cstrpbrk_diffterm_alloca_true-termination.c.i_Iteration3.ats,true,true,23,11,26,135,35,0,0,0,132,274,NCSB+Tarjan,2,false
cstrpbrk_diffterm_alloca_true-termination.c.i_Iteration3.ats,true,true,23,11,26,135,35,0,44,135,132,240,ASCC+Antichain,1,false
cstrpbrk_diffterm_alloca_true-termination.c.i_Iteration3.ats,true,true,23,11,26,135,35,0,0,0,132,274,ASCC,2,false
cstrpbrk_diffterm_alloca_true-termination.c.i_Iteration3.ats,true,true,23,11,26,135,35,0,0,0,0,0,RABIT,296,false
pals_lcr-var-start-time.6_true-unreach-call.ufo.BOUNDED-12.pals_true-termination.c_Iteration3.ats,true,true,138,7,193,1057,243,0,0,0,1057,1335,NCSB+Tarjan,16,true
pals_lcr-var-start-time.6_true-unreach-call.ufo.BOUNDED-12.pals_true-termination.c_Iteration3.ats,true,true,138,7,193,1057,243,42,358,457,1057,887,ASCC+Antichain,12,true
pals_lcr-var-start-time.6_true-unreach-call.ufo.BOUNDED-12.pals_true-termination.c_Iteration3.ats,true,true,138,7,193,1057,243,0,0,0,1057,1335,ASCC,15,true
pals_lcr-var-start-time.6_true-unreach-call.ufo.BOUNDED-12.pals_true-termination.c_Iteration3.ats,true,true,138,7,193,1057,243,0,0,0,0,0,RABIT,161,true
BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,23,17,36,40,12,0,0,0,40,138,NCSB+Tarjan,1,false
BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,23,17,36,40,12,6,0,91,40,124,ASCC+Antichain,1,false
BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,23,17,36,40,12,0,0,0,40,124,ASCC,0,false
BradleyMannaSipma-CAV2005-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,23,17,36,40,12,0,0,0,0,0,RABIT,114,false
c.01_assume_true-termination_true-no-overflow.c_Iteration3.ats,false,true,10,3,13,23,13,0,0,0,23,26,NCSB+Tarjan,0,true
c.01_assume_true-termination_true-no-overflow.c_Iteration3.ats,false,true,10,3,13,23,13,0,6,16,23,23,ASCC+Antichain,0,true
c.01_assume_true-termination_true-no-overflow.c_Iteration3.ats,false,true,10,3,13,23,13,0,0,0,23,26,ASCC,0,true
c.01_assume_true-termination_true-no-overflow.c_Iteration3.ats,false,true,10,3,13,23,13,0,0,0,0,0,RABIT,130,true
pals_opt-floodmax.3_false-unreach-call.3.ufo.BOUNDED-6.pals_true-termination.c_Iteration4.ats,true,true,195,7,288,1036,245,0,0,0,1036,2004,NCSB+Tarjan,20,true
pals_opt-floodmax.3_false-unreach-call.3.ufo.BOUNDED-6.pals_true-termination.c_Iteration4.ats,true,true,195,7,288,1036,245,46,518,653,1036,1259,ASCC+Antichain,15,true
pals_opt-floodmax.3_false-unreach-call.3.ufo.BOUNDED-6.pals_true-termination.c_Iteration4.ats,true,true,195,7,288,1036,245,0,0,0,1036,2004,ASCC,20,true
pals_opt-floodmax.3_false-unreach-call.3.ufo.BOUNDED-6.pals_true-termination.c_Iteration4.ats,true,true,195,7,288,1036,245,0,0,0,0,0,RABIT,175,true
WhileNested_false-termination.c_Iteration2.ats,true,true,6,6,7,31,13,0,0,0,31,20,NCSB+Tarjan,1,false
WhileNested_false-termination.c_Iteration2.ats,true,true,6,6,7,31,13,0,1,4,31,20,ASCC+Antichain,0,false
WhileNested_false-termination.c_Iteration2.ats,true,true,6,6,7,31,13,0,0,0,31,20,ASCC,0,false
WhileNested_false-termination.c_Iteration2.ats,true,true,6,6,7,31,13,0,0,0,0,0,RABIT,102,false
Toulouse-MultiBranchesToLoop-alloca_true-termination.c.i_Iteration14.ats,false,true,252,113,277,720,115,0,0,0,720,2781,NCSB+Tarjan,23,false
Toulouse-MultiBranchesToLoop-alloca_true-termination.c.i_Iteration14.ats,false,true,252,113,277,720,115,44,263,1717,720,2158,ASCC+Antichain,24,false
Toulouse-MultiBranchesToLoop-alloca_true-termination.c.i_Iteration14.ats,false,true,252,113,277,720,115,0,0,0,720,2781,ASCC,22,false
Toulouse-MultiBranchesToLoop-alloca_true-termination.c.i_Iteration14.ats,false,true,252,113,277,720,115,0,0,0,0,0,RABIT,1371,false
s3_srvr_1b_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,589,10,1016,191,38,0,0,0,191,11849,NCSB+Tarjan,63,false
s3_srvr_1b_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,589,10,1016,191,38,668,5450,3034,191,9534,ASCC+Antichain,66,false
s3_srvr_1b_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,589,10,1016,191,38,0,0,0,191,10428,ASCC,50,false
s3_srvr_1b_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,589,10,1016,191,38,0,0,0,0,0,RABIT,678,false
java_Continue1-alloca_true-termination.c.i_Iteration13.ats,false,true,244,70,258,273,24,0,0,0,273,1226,NCSB+Tarjan,4,true
java_Continue1-alloca_true-termination.c.i_Iteration13.ats,false,true,244,70,258,273,24,0,90,984,273,1084,ASCC+Antichain,5,true
java_Continue1-alloca_true-termination.c.i_Iteration13.ats,false,true,244,70,258,273,24,0,0,0,273,1226,ASCC,4,true
java_Continue1-alloca_true-termination.c.i_Iteration13.ats,false,true,244,70,258,273,24,0,0,0,0,0,RABIT,181,true
c.01_assume_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,28,13,0,0,0,28,13,NCSB+Tarjan,1,false
c.01_assume_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,28,13,0,0,2,28,13,ASCC+Antichain,0,false
c.01_assume_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,28,13,0,0,0,28,13,ASCC,0,false
c.01_assume_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,28,13,0,0,0,0,0,RABIT,89,false
Urban-alloca_true-termination.c.i_Iteration4.ats,false,true,123,171,142,576,38,0,0,0,576,94901,NCSB+Tarjan,1034,false
Urban-alloca_true-termination.c.i_Iteration4.ats,false,true,123,171,142,576,38,240,22329,47693,576,71724,ASCC+Antichain,5631,false
Urban-alloca_true-termination.c.i_Iteration4.ats,false,true,123,171,142,576,38,0,0,0,576,93202,ASCC,1275,false
Urban-alloca_true-termination.c.i_Iteration4.ats,false,true,123,171,142,576,38,0,0,0,0,0,RABIT,2822,false
PodelskiRybalchenko-TACAS2011-Fig2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,0,0,32,19,NCSB+Tarjan,0,false
PodelskiRybalchenko-TACAS2011-Fig2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,1,4,32,19,ASCC+Antichain,1,false
PodelskiRybalchenko-TACAS2011-Fig2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,0,0,32,19,ASCC,0,false
PodelskiRybalchenko-TACAS2011-Fig2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,0,0,0,0,RABIT,92,false
UpAndDown_false-termination_true-no-overflow.c_Iteration16.ats,false,false,0,0,0,0,14,0,0,0,0,244756,NCSB+Tarjan,0,null
UpAndDown_false-termination_true-no-overflow.c_Iteration16.ats,false,false,0,0,0,0,14,0,0,0,0,22581,ASCC+Antichain,0,null
UpAndDown_false-termination_true-no-overflow.c_Iteration16.ats,false,false,0,0,0,0,14,0,0,0,0,2245,ASCC,0,null
UpAndDown_false-termination_true-no-overflow.c_Iteration16.ats,false,false,0,0,0,0,14,0,0,0,0,0,RABIT,0,null
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,0,0,0,19,34,NCSB+Tarjan,1,true
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,1,10,19,19,33,ASCC+Antichain,0,true
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,0,0,0,19,34,ASCC,0,true
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c_Iteration2.ats,false,true,11,5,14,19,10,0,0,0,0,0,RABIT,118,true
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration2.ats,false,true,330,10,518,1308,211,0,0,0,1296,6624,NCSB+Tarjan,82,false
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration2.ats,false,true,330,10,518,1308,211,200,2933,2460,1296,5769,ASCC+Antichain,65,false
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration2.ats,false,true,330,10,518,1308,211,0,0,0,1296,6225,ASCC,52,false
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration2.ats,false,true,330,10,518,1308,211,0,0,0,0,0,RABIT,9036,false
java_Sequence_true-termination_true-no-overflow.c_Iteration2.ats,false,true,8,3,10,23,13,0,0,0,23,16,NCSB+Tarjan,0,true
java_Sequence_true-termination_true-no-overflow.c_Iteration2.ats,false,true,8,3,10,23,13,0,2,13,23,16,ASCC+Antichain,0,true
java_Sequence_true-termination_true-no-overflow.c_Iteration2.ats,false,true,8,3,10,23,13,0,0,0,23,16,ASCC,0,true
java_Sequence_true-termination_true-no-overflow.c_Iteration2.ats,false,true,8,3,10,23,13,0,0,0,0,0,RABIT,99,true
Ex06_false-termination_true-no-overflow.c_Iteration2.ats,true,true,9,6,12,35,12,0,0,0,35,38,NCSB+Tarjan,0,false
Ex06_false-termination_true-no-overflow.c_Iteration2.ats,true,true,9,6,12,35,12,2,6,15,35,38,ASCC+Antichain,0,false
Ex06_false-termination_true-no-overflow.c_Iteration2.ats,true,true,9,6,12,35,12,0,0,0,35,38,ASCC,0,false
Ex06_false-termination_true-no-overflow.c_Iteration2.ats,true,true,9,6,12,35,12,0,0,0,0,0,RABIT,94,false
PodelskiRybalchenko-LICS2004-Fig1_true-termination_false-no-overflow.c_Iteration3.ats,false,true,10,6,13,35,13,0,0,0,35,85,NCSB+Tarjan,1,true
PodelskiRybalchenko-LICS2004-Fig1_true-termination_false-no-overflow.c_Iteration3.ats,false,true,10,6,13,35,13,3,29,34,35,79,ASCC+Antichain,1,true
PodelskiRybalchenko-LICS2004-Fig1_true-termination_false-no-overflow.c_Iteration3.ats,false,true,10,6,13,35,13,0,0,0,35,85,ASCC,0,true
PodelskiRybalchenko-LICS2004-Fig1_true-termination_false-no-overflow.c_Iteration3.ats,false,true,10,6,13,35,13,0,0,0,0,0,RABIT,116,true
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3.ats,false,true,35,7,56,41,17,0,0,0,38,45,NCSB+Tarjan,1,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3.ats,false,true,35,7,56,41,17,0,0,1,27,18,ASCC+Antichain,0,false
